alpha,judge_alignment,fan_influence,wrongful_rate
0.3,0.48484848484848486,0.8409090909090909,0.15909090909090906
0.35,0.49242424242424243,0.8333333333333334,0.16666666666666663
0.4,0.49242424242424243,0.8333333333333334,0.16666666666666663
0.45,0.4962121212121212,0.8295454545454546,0.17045454545454541
0.5,0.4962121212121212,0.8295454545454546,0.17045454545454541
0.55,0.4962121212121212,0.8295454545454546,0.17045454545454541
0.6,0.5,0.8257575757575758,0.1742424242424242
0.65,0.5037878787878788,0.821969696969697,0.17803030303030298
0.7,0.5037878787878788,0.821969696969697,0.17803030303030298
0.75,0.5037878787878788,0.821969696969697,0.17803030303030298
0.8,0.5227272727272727,0.803030303030303,0.19696969696969702
